  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  25.6427378965   0.0103281077   0.0018165339
  25.6928213689   0.0096443443   0.0017996185
  25.7429048414   0.0090475899   0.0017829884
  25.7929883139   0.0085233338   0.0017666361
  25.8430717863   0.0080598930   0.0017505541
  25.8931552588   0.0076478021   0.0017347354
  25.9432387312   0.0072793429   0.0017191730
  25.9933222037   0.0069481818   0.0017038604
  26.0434056761   0.0066490894   0.0016887913
  26.0934891486   0.0063777214   0.0016739595
  26.1435726210   0.0061304477   0.0016593592
  26.1936560935   0.0059042184   0.0016449846
  26.2437395659   0.0056964567   0.0016308303
  26.2938230384   0.0055049746   0.0016168910
  26.3439065109   0.0053279047   0.0016031616
  26.3939899833   0.0051636463   0.0015896371
  26.4440734558   0.0050108202   0.0015763127
  26.4941569282   0.0048682338   0.0015631838
  26.5442404007   0.0047348510   0.0015502460
  26.5943238731   0.0046097685   0.0015374949
  26.6444073456   0.0044921954   0.0015249263
  26.6944908180   0.0043814370   0.0015125363
  26.7445742905   0.0042768809   0.0015003208
  26.7946577629   0.0041779855   0.0014882760
  26.8447412354   0.0040842702   0.0014763984
  26.8948247078   0.0039953072   0.0014646842
  26.9449081803   0.0039107149   0.0014531301
  26.9949916528   0.0038301514   0.0014417327
  27.0450751252   0.0037533099   0.0014304887
  27.0951585977   0.0036799146   0.0014193949
  27.1452420701   0.0036097163   0.0014084484
  27.1953255426   0.0035424900   0.0013976460
  27.2454090150   0.0034780314   0.0013869849
  27.2954924875   0.0034161552   0.0013764623
  27.3455759599   0.0033566926   0.0013660754
  27.3956594324   0.0032994895   0.0013558216
  27.4457429048   0.0032444052   0.0013456983
  27.4958263773   0.0031913107   0.0013357029
  27.5459098497   0.0031400878   0.0013258331
  27.5959933222   0.0030906277   0.0013160864
  27.6460767947   0.0030428301   0.0013064605
  27.6961602671   0.0029966028   0.0012969531
  27.7462437396   0.0029518604   0.0012875621
  27.7963272120   0.0029085237   0.0012782853
  27.8464106845   0.0028665197   0.0012691206
  27.8964941569   0.0028257804   0.0012600660
  27.9465776294   0.0027862426   0.0012511195
  27.9966611018   0.0027478474   0.0012422791
  28.0467445743   0.0027105401   0.0012335430
  28.0968280467   0.0026742695   0.0012249094
  28.1469115192   0.0026389877   0.0012163764
  28.1969949917   0.0026046502   0.0012079423
  28.2470784641   0.0025712149   0.0011996053
  28.2971619366   0.0025386425   0.0011913639
  28.3472454090   0.0025068961   0.0011832163
  28.3973288815   0.0024759411   0.0011751611
  28.4474123539   0.0024457448   0.0011671966
  28.4974958264   0.0024162765   0.0011593213
  28.5475792988   0.0023875071   0.0011515338
  28.5976627713   0.0023594094   0.0011438325
  28.6477462437   0.0023319574   0.0011362162
  28.6978297162   0.0023051267   0.0011286833
  28.7479131886   0.0022788942   0.0011212326
  28.7979966611   0.0022532380   0.0011138628
  28.8480801336   0.0022281373   0.0011065724
  28.8981636060   0.0022035723   0.0010993604
  28.9482470785   0.0021795244   0.0010922254
  28.9983305509   0.0021559758   0.0010851662
  29.0484140234   0.0021329096   0.0010781816
  29.0984974958   0.0021103096   0.0010712706
  29.1485809683   0.0020881605   0.0010644319
  29.1986644407   0.0020664477   0.0010576644
  29.2487479132   0.0020451572   0.0010509672
  29.2988313856   0.0020242757   0.0010443390
  29.3489148581   0.0020037906   0.0010377788
  29.3989983306   0.0019836896   0.0010312857
  29.4490818030   0.0019639612   0.0010248587
  29.4991652755   0.0019445942   0.0010184967
  29.5492487479   0.0019255780   0.0010121988
  29.5993322204   0.0019069024   0.0010059640
  29.6494156928   0.0018885575   0.0009997915
  29.6994991653   0.0018705341   0.0009936804
  29.7495826377   0.0018528231   0.0009876297
  29.7996661102   0.0018354159   0.0009816385
  29.8497495826   0.0018183043   0.0009757061
  29.8998330551   0.0018014801   0.0009698317
  29.9499165275   0.0017849357   0.0009640143
  30.0000000000   0.0017686639   0.0009582531
