  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  28.6477462437   0.0026253433   0.0011362162
  28.6978297162   0.0025899998   0.0011286833
  28.7479131886   0.0025556268   0.0011212326
  28.7979966611   0.0025221804   0.0011138628
  28.8480801336   0.0024896194   0.0011065724
  28.8981636060   0.0024579054   0.0010993604
  28.9482470785   0.0024270020   0.0010922254
  28.9983305509   0.0023968751   0.0010851662
  29.0484140234   0.0023674928   0.0010781816
  29.0984974958   0.0023388248   0.0010712706
  29.1485809683   0.0023108425   0.0010644319
  29.1986644407   0.0022835191   0.0010576644
  29.2487479132   0.0022568292   0.0010509672
  29.2988313856   0.0022307487   0.0010443390
  29.3489148581   0.0022052548   0.0010377788
  29.3989983306   0.0021803260   0.0010312857
  29.4490818030   0.0021559419   0.0010248587
  29.4991652755   0.0021320829   0.0010184967
  29.5492487479   0.0021087308   0.0010121988
  29.5993322204   0.0020858679   0.0010059640
  29.6494156928   0.0020634777   0.0009997915
  29.6994991653   0.0020415442   0.0009936804
  29.7495826377   0.0020200523   0.0009876297
  29.7996661102   0.0019989877   0.0009816385
  29.8497495826   0.0019783366   0.0009757061
  29.8998330551   0.0019580859   0.0009698317
  29.9499165275   0.0019382231   0.0009640143
  30.0000000000   0.0019187361   0.0009582531
